repeat_idx,case_idx,initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,final_gap_m,delta_gap_m,final_lead_speed_mps,final_ego_speed_mps,settled,collision,settle_time_s,ticks_executed,spawn_ok,error
0,170,19.0,2.75,5.0,2.6460960508612077,-16.353903949138793,2.4811174988523397,4.848063298091706,0,0,nan,160,1,
0,171,19.5,2.75,5.0,3.6544341147397468,-15.845565885260253,2.4763490238649926,4.848431336699407,0,0,nan,160,1,
0,172,20.0,2.75,5.0,3.6356830598365697,-16.36431694016343,2.4786088116380887,4.849373860260976,0,0,nan,160,1,
0,173,20.5,2.75,5.0,4.645882182284359,-15.854117817715641,2.480971139982621,4.84787277887656,0,0,nan,160,1,
0,174,21.0,2.75,5.0,4.648784548343704,-16.351215451656294,2.481095306926399,4.8478671386078505,0,0,nan,160,1,
0,175,21.5,2.75,5.0,5.625422532345441,-15.874577467654559,2.481257167197978,4.848759690758106,0,0,nan,160,1,
0,176,22.0,2.75,5.0,5.625743261531147,-16.37425673846885,2.4811112854106137,4.846081499708456,0,0,nan,160,1,
0,177,22.5,2.75,5.0,6.762453820218489,-15.73754617978151,2.480897769764564,4.860754577239611,0,0,nan,160,1,
0,178,23.0,2.75,5.0,6.6450799993689404,-16.35492000063106,2.481056419418802,4.848654309614691,0,0,nan,160,1,
0,179,23.5,2.75,5.0,7.653204080836412,-15.846795919163588,2.4763902136618148,4.848732378349275,0,0,nan,160,1,
0,180,24.0,2.75,5.0,7.654329185441339,-16.34567081455866,2.478755307700312,4.84844737934139,0,0,nan,160,1,
0,181,24.5,2.75,5.0,8.68441664968409,-15.81558335031591,2.4664440898763895,4.848737756222686,0,0,nan,160,1,
0,182,25.0,2.75,5.0,8.642079204399266,-16.357920795600734,2.4764846887823913,4.848057255260862,0,0,nan,160,1,
0,183,25.5,2.75,5.0,9.75304076002005,-15.74695923997995,2.476300491494349,4.860752712305687,0,0,nan,160,1,
0,184,26.0,2.75,5.0,9.698869211865281,-16.30113078813472,2.4763858004693695,4.848759213958056,0,0,nan,160,1,
0,185,26.5,2.75,5.0,10.629247372974822,-15.870752627025178,2.4811517958282927,4.847710766972229,0,0,nan,160,1,
0,186,27.0,2.75,5.0,10.631141913887914,-16.368858086112084,2.4811741301016585,4.848441495469899,0,0,nan,160,1,
0,187,27.5,2.75,5.0,11.714961656304123,-15.785038343695877,2.4811358142454356,4.849327114755862,0,0,nan,160,1,
0,188,28.0,2.75,5.0,11.631544457770076,-16.368455542229924,2.4786780614374027,4.848065677464414,0,0,nan,160,1,
0,189,28.5,2.75,5.0,12.612707403453793,-15.887292596546207,2.478620591417339,4.848447856146951,0,0,nan,160,1,
0,190,29.0,2.75,5.0,12.711334725539555,-16.288665274460445,2.4786872236015123,4.848762552939514,0,0,nan,160,1,
0,191,29.5,2.75,5.0,13.621484029473358,-15.878515970526642,2.4810323827292304,4.84801995688242,0,0,nan,160,1,
0,192,30.0,2.75,5.0,13.595542194401762,-16.404457805598238,2.476555455980476,4.847872855471577,0,0,nan,160,1,
0,193,30.5,2.75,5.0,14.708309447444623,-15.791690552555377,2.4811846901777144,4.848759690799731,0,0,nan,160,1,
0,194,31.0,2.75,5.0,14.62346454422686,-16.37653545577314,2.4786652496794663,4.848063774348883,0,0,nan,160,1,
0,195,31.5,2.75,5.0,15.58116415074387,-15.91883584925613,2.4786453026878457,4.848446902492973,0,0,nan,160,1,
0,196,32.0,2.75,5.0,15.700039075337742,-16.29996092466226,2.4811856438361146,4.847884180689824,0,0,nan,160,1,
0,197,8.0,3.0,5.0,-0.07610006806070224,-8.076100068060702,4.053530070199703,3.396167265647515,0,1,nan,102,1,
0,198,8.5,3.0,5.0,-0.054820391230987475,-8.554820391230987,3.9100250731755573,3.5775687539453664,0,1,nan,110,1,
0,199,9.0,3.0,5.0,-0.05241923058700326,-9.052419230587002,3.918423639501532,3.5679122752154497,0,1,nan,110,1,
0,200,9.5,3.0,5.0,-0.04927116278207144,-9.549271162782071,3.9807860448734553,3.508184036607406,0,1,nan,119,1,
0,201,10.0,3.0,5.0,-0.0668091480585522,-10.066809148058553,4.062331055666214,3.4122566881014578,0,1,nan,119,1,
0,202,10.5,3.0,5.0,-0.05140590770162934,-10.551405907701628,3.8532385026176055,3.7148187680365905,0,1,nan,129,1,
0,203,11.0,3.0,5.0,-0.050615559368626606,-11.050615559368627,3.845093965559461,3.728310739948922,0,1,nan,129,1,
0,204,11.5,3.0,5.0,-0.053457460459164,-11.553457460459164,3.9540023228093992,3.6081946116515398,0,1,nan,138,1,
0,205,12.0,3.0,5.0,-0.04232474187456514,-12.042324741874566,3.9530765335541997,3.6112563980793064,0,1,nan,138,1,
0,206,12.5,3.0,5.0,-0.06274849950830763,-12.562748499508308,4.069295922725663,3.456791218479956,0,1,nan,147,1,
0,207,13.0,3.0,5.0,-0.049435517144244656,-13.049435517144245,3.8729847166663314,3.7406342555924055,0,1,nan,148,1,
0,208,13.5,3.0,5.0,-0.05007150161397167,-13.55007150161397,3.9778759325052393,3.6325303100874438,0,1,nan,157,1,
0,209,14.0,3.0,5.0,-0.05337522916130588,-14.053375229161306,3.931429494963552,3.6954432269857285,0,1,nan,157,1,
